display,manufacturer,year,peak_nm,fwhm_nm,sharpness,confidence,vote_ratio
TL142GVXP12-0,Thermotrex Corporation,2024,633.0,29.15,9.9,1.0,1/1
DELL AW2723DF,"Dell, Inc.",2024,630.0,23.51,10.62,1.0,3/3
TL156MDMP31-0,Thermotrex Corporation,2024,633.0,30.49,9.47,1.0,1/1
G27UV,VAVG,2024,630.0,25.7,11.02,1.0,2/2
PA329CRV,ASUSTek COMPUTER INC,2024,630.0,23.86,10.78,1.0,1/1
PHL 271V8,Philips Consumer Electronics Company,2024,630.0,21.41,11.64,1.0,1/1
T3MW9-LQ170R1,Sharp Corporation,2024,630.0,23.62,11.48,1.0,1/1
H27S17,K-Tech,2024,630.0,26.76,10.53,1.0,1/1
MSI G321Q,Microstep,2024,630.0,23.92,10.67,1.0,1/1
24B2W1F1,AOC,2024,633.0,25.25,10.95,1.0,1/1
27B2G5,AOC,2024,633.0,25.15,11.31,1.0,1/1
U32P2WG6,AOC,2024,633.0,24.81,11.23,1.0,3/3
NE160QAM-NX1,BOE,2024,633.0,31.19,9.38,1.0,1/1
ASUS XG32VC,ASUSTek COMPUTER INC,2024,630.0,23.26,11.79,1.0,1/1
NV160WUM-NH0,BOE,2024,633.0,29.58,9.91,1.0,1/1
XWU-CAA,"Huawei Technologies Co., Inc.",2024,630.0,23.41,11.65,1.0,1/1
B156HAN12.0,AU Optronics,2024,633.0,28.11,10.18,1.0,4/4
Type_C,BOE,2024,633.0,24.59,11.03,1.0,1/1
MSI G274QPF,Microstep,2023,630.0,29.7,9.81,1.0,1/1
TL140ADXP24-0,Tidewater Association,2023,633.0,25.44,10.02,1.0,1/1
XV272U Z,Acer Technologies,2023,630.0,23.82,11.38,1.0,3/3
25G3ZM,AOC,2023,630.0,22.82,12.5,1.0,2/2
MAG 275CQRXF,Microstep,2023,630.0,23.4,11.51,1.0,2/2
LG ULTRAFINE,LG Display,2023,630.0,23.28,12.15,1.0,1/1
MAG275CQRF-QD,Microstep,2023,630.0,27.16,20.55,1.0,1/1
7PHPT-LQ156D1,Sharp Corporation,2023,630.0,29.01,9.36,1.0,1/1
